file_offset	section	section_offset	string
0x4b8f	.rodata.str1.1	0x42f	%s Failed to disable vbus in range(%d)
0x4bb7	.rodata.str1.1	0x457	%s:%d-%d
0x4bc0	.rodata.str1.1	0x460	chipid
0x4bc7	.rodata.str1.1	0x467	sc,sc8571,wd-timeout
0x4bdc	.rodata.str1.1	0x47c	can not read %s 
0x4bee	.rodata.str1.1	0x48e	%s power supply register successfully
0x4c15	.rodata.str1.1	0x4b5	sc8571_dump_reg
0x4c25	.rodata.str1.1	0x4c5	%s parse dt failed(%d)
0x4c3d	.rodata.str1.1	0x4dd	sc,sc8571,vac1-ovp
0x4c50	.rodata.str1.1	0x4f0	sc,sc8571,ibus-ucp-dis
0x4c67	.rodata.str1.1	0x507	%s reg[0x%02x] = 0x%02x
0x4c80	.rodata.str1.1	0x520	Suspend successfully!
0x4c96	.rodata.str1.1	0x536	standalone
0x4ca1	.rodata.str1.1	0x541	%s: sc8571_buf=%s
0x4cb7	.rodata.str1.1	0x557	%s not find SC8571, ID = 0x%02x
0x4cd8	.rodata.str1.1	0x578	registers
0x4ce2	.rodata.str1.1	0x582	sc,sc8571,ibat-ocp
0x4cf5	.rodata.str1.1	0x595	sc,sc8571,tsbat-flt-dis
0x4d0d	.rodata.str1.1	0x5ad	sc8571_charger_shutdown: sc8571_enable_adc
0x4d39	.rodata.str1.1	0x5d9	sc,sc8571,vbat-ovp
0x4d4c	.rodata.str1.1	0x5ec	sc,sc8571,vbus-pd-en
0x4d61	.rodata.str1.1	0x601	sc,sc8571,ibus-ocp
0x4d74	.rodata.str1.1	0x614	device tree match not found!
0x4d92	.rodata.str1.1	0x632	Reg[%.2X] = 0x%.2x
0x4da6	.rodata.str1.1	0x646	sc,sc8571,tsbus-flt-dis
0x4dbe	.rodata.str1.1	0x65e	gftk chg_dev_name : %s
0x4dd6	.rodata.str1.1	0x676	sc8571_check_charge_enabled
0x4df2	.rodata.str1.1	0x692	sc8571-slave-irq
0x4e03	.rodata.str1.1	0x6a3	%s init device failed(%d)
0x4e1e	.rodata.str1.1	0x6be	%s:%d
0x4e24	.rodata.str1.1	0x6c4	val[1]:%x, val[0]:%x
0x4e3d	.rodata.str1.1	0x6dd	%s (%s)
0x4e46	.rodata.str1.1	0x6e6	work mode is %s
0x4e57	.rodata.str1.1	0x6f7	sc,sc8571,vbat-ovp-dis
0x4e6e	.rodata.str1.1	0x70e	sc,sc8571,tdie-alm
0x4e81	.rodata.str1.1	0x721	sc,sc8571,ibus-ucp-fall-dg
0x4e9c	.rodata.str1.1	0x73c	sc,sc8571,vout-ovp
0x4eaf	.rodata.str1.1	0x74f	sc,sc8571,pmid2out-uvp
0x4ec6	.rodata.str1.1	0x766	sc8571_set_vbatovp_alarm
0x4edf	.rodata.str1.1	0x77f	sc,sc8571,vac1-pd-en
0x4ef4	.rodata.str1.1	0x794	sc,sc8571,wd-timeout-dis
0x4f0d	.rodata.str1.1	0x7ad	Fail to register charger!
0x4f28	.rodata.str1.1	0x7c8	request irq for irq=%d failed, ret =%d
0x4f50	.rodata.str1.1	0x7f0	mtk_sc8571_reset_vbusovp_alarm
0x4f6f	.rodata.str1.1	0x80f	sc8571_charger_probe
0x4f84	.rodata.str1.1	0x824	Fail to set work mode!
0x4f9c	.rodata.str1.1	0x83c	sc8571 read field %d fail: %d
0x4fbb	.rodata.str1.1	0x85b	sc,sc8571,tshut-dis
0x4fcf	.rodata.str1.1	0x86f	sc,sc8571,vac2-pd-en
0x4fe4	.rodata.str1.1	0x884	charger_name
0x4ff1	.rodata.str1.1	0x891	sc-cp-master
0x4ffe	.rodata.str1.1	0x89e	%s fail(%d)
0x500b	.rodata.str1.1	0x8ab	%x %x
0x5011	.rodata.str1.1	0x8b1	sc,sc8571,vbus-ovp-dis
0x5028	.rodata.str1.1	0x8c8	memcpy
0x502f	.rodata.str1.1	0x8cf	sc,sc8571,tsbat-flt
0x5043	.rodata.str1.1	0x8e3	sc,sc8571,ss-timeout
0x5058	.rodata.str1.1	0x8f8	fail to valid gpio : %d
0x5071	.rodata.str1.1	0x911	sc8571_init_device
0x5084	.rodata.str1.1	0x924	sc8571_chg
0x508f	.rodata.str1.1	0x92f	cannot allocate regmap field
0x50ad	.rodata.str1.1	0x94d	master
0x50b4	.rodata.str1.1	0x954	%s psy register failed(%d)
0x50d0	.rodata.str1.1	0x970	sc,sc8571,tsbus-flt
0x50e4	.rodata.str1.1	0x984	sc,sc8571,fsw-set
0x50f6	.rodata.str1.1	0x996	sc,sc8571,ibat-sns-r
0x510b	.rodata.str1.1	0x9ab	%s %d %d
0x5114	.rodata.str1.1	0x9b4	sc8571_set_batocp_th
0x5129	.rodata.str1.1	0x9c9	charger
0x5131	.rodata.str1.1	0x9d1	%s Failed to reset registers(%d)
0x5153	.rodata.str1.1	0x9f3	sc8571[%s] probe successfully!
0x5173	.rodata.str1.1	0xa13	POWER_SUPPLY_PROP_ONLINE: %s
0x5191	.rodata.str1.1	0xa31	sc8571_enable_charge
0x51a6	.rodata.str1.1	0xa46	sc,sc8571,vbus-ovp-alm-dis
0x51d0	.note.Linux	0xc	Linux
0x51e8	.note.Linux	0x24	Linux
0x5218	.gnu.linkonce.this_module	0x18	sc8571_charger
0x5648	__versions	0x8	i2c_register_driver
0x5688	__versions	0x48	i2c_del_driver
0x56c8	__versions	0x88	_dev_err
0x5708	__versions	0xc8	devm_kmalloc
0x5748	__versions	0x108	__devm_regmap_init_i2c
0x5788	__versions	0x148	devm_regmap_field_alloc
0x57c8	__versions	0x188	regmap_field_read
0x5808	__versions	0x1c8	devm_kfree
0x5848	__versions	0x208	sprintf
0x5888	__versions	0x248	device_create_file
0x58c8	__versions	0x288	of_match_node
0x5908	__versions	0x2c8	power_supply_unregister
0x5940	__versions	0x300	8]26
0x5948	__versions	0x308	charger_device_register
0x5988	__versions	0x348	_printk
0x59c8	__versions	0x388	__class_create
0x5a08	__versions	0x3c8	class_create_file_ns
0x5a48	__versions	0x408	__stack_chk_fail
0x5a88	__versions	0x448	_dev_info
0x5ac8	__versions	0x488	regmap_field_update_bits_base
0x5b08	__versions	0x4c8	of_property_read_variable_u32_array
0x5b48	__versions	0x508	of_get_named_gpio_flags
0x5b88	__versions	0x548	of_property_read_string
0x5bc8	__versions	0x588	msleep
0x5c08	__versions	0x5c8	devm_power_supply_register
0x5c48	__versions	0x608	gpio_request_one
0x5c88	__versions	0x648	gpio_to_desc
0x5cc8	__versions	0x688	gpiod_to_irq
0x5d08	__versions	0x6c8	devm_request_threaded_irq
0x5d48	__versions	0x708	irq_set_irq_wake
0x5d88	__versions	0x748	memset
0x5dc0	__versions	0x780	nJne
0x5dc8	__versions	0x788	snprintf
0x5e08	__versions	0x7c8	memcpy
0x5e48	__versions	0x808	regmap_read
0x5e88	__versions	0x848	fortify_panic
0x5ec8	__versions	0x888	sscanf
0x5f08	__versions	0x8c8	regmap_write
0x5f48	__versions	0x908	power_supply_get_drvdata
0x5f88	__versions	0x948	regmap_bulk_read
0x5fc8	__versions	0x988	power_supply_changed
0x6008	__versions	0x9c8	disable_irq
0x6048	__versions	0xa08	enable_irq
0x6088	__versions	0xa48	module_layout
0x60de	.note.gnu.build-id	0x1e	O|lo
0x96d9	.comment	0x1	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
0x9ace	.llvm_addrsig	0x6	!+.&'(*?BEHKNQTWZ]`cfjmpsvy|}
0xad91	.shstrtab	0x1	.note.gnu.property
0xada4	.shstrtab	0x14	.note.Linux
0xadb0	.shstrtab	0x20	.rela.exit.text
0xadc0	.shstrtab	0x30	.rela.init.text
0xadd0	.shstrtab	0x40	.hyp.text
0xadda	.shstrtab	0x4a	.rela.text
0xade5	.shstrtab	0x55	.comment
0xadee	.shstrtab	0x5e	.init.plt
0xadf8	.shstrtab	0x68	.hyp.bss
0xae01	.shstrtab	0x71	__versions
0xae0c	.shstrtab	0x7c	.modinfo
0xae15	.shstrtab	0x85	.note.GNU-stack
0xae25	.shstrtab	0x95	.llvm_addrsig
0xae33	.shstrtab	0xa3	.text.ftrace_trampoline
0xae4b	.shstrtab	0xbb	.init.eh_frame
0xae5a	.shstrtab	0xca	.rela.eh_frame
0xae69	.shstrtab	0xd9	.rela.gnu.linkonce.this_module
0xae88	.shstrtab	0xf8	.note.gnu.build-id
0xae9b	.shstrtab	0x10b	.shstrtab
0xaea5	.shstrtab	0x115	.strtab
0xaead	.shstrtab	0x11d	.symtab
0xaeb5	.shstrtab	0x125	.hyp.rodata
0xaec1	.shstrtab	0x131	.rela.rodata
0xaece	.shstrtab	0x13e	.rela.exit.data
0xaede	.shstrtab	0x14e	.rela.init.data
0xaeee	.shstrtab	0x15e	.hyp.data
0xaef8	.shstrtab	0x168	.rela.data
0xaf03	.shstrtab	0x173	.rodata.str1.1
0xaf13	.strtab	0x1	sc8571_charger_set_property
0xaf2f	.strtab	0x1d	sc8571_charger_get_property
0xaf4b	.strtab	0x39	memcpy
0xaf52	.strtab	0x40	sc8571_charger_probe.__key
0xaf6d	.strtab	0x5b	mtk_sc8571_get_adc_accuracy
0xaf89	.strtab	0x77	of_property_read_variable_u32_array
0xafad	.strtab	0x9b	chipid_show
0xafb9	.strtab	0xa7	sc8571_register_interrupt
0xafd3	.strtab	0xc1	sc8571_conunt
0xafe1	.strtab	0xcf	memset
0xafe8	.strtab	0xd6	sc8571_parse_dt
0xaff8	.strtab	0xe6	sc8571_fg_class
0xb008	.strtab	0xf6	sc8571_show_registers
0xb01e	.strtab	0x10c	dev_attr_registers
0xb031	.strtab	0x11f	sc8571_charger_props
0xb046	.strtab	0x134	sc8571_chg_props
0xb057	.strtab	0x145	sc8571_chg_ops
0xb066	.strtab	0x154	____versions
0xb073	.strtab	0x161	class_create_file_ns
0xb088	.strtab	0x176	of_get_named_gpio_flags
0xb0a0	.strtab	0x18e	sc8571_reg_fields
0xb0b2	.strtab	0x1a0	mtk_sc8571_is_vbuslowerr
0xb0cb	.strtab	0x1b9	_dev_err
0xb0d4	.strtab	0x1c2	i2c_register_driver
0xb0e8	.strtab	0x1d6	sc8571_charger_driver
0xb0fe	.strtab	0x1ec	i2c_del_driver
0xb10d	.strtab	0x1fb	power_supply_unregister
0xb125	.strtab	0x213	sc8571_psy_register
0xb139	.strtab	0x227	devm_power_supply_register
0xb154	.strtab	0x242	sc8571_store_register
0xb16a	.strtab	0x258	charger_device_register
0xb182	.strtab	0x270	sc8571_irq_handler
0xb195	.strtab	0x283	gpiod_to_irq
0xb1a2	.strtab	0x290	disable_irq
0xb1ae	.strtab	0x29c	enable_irq
0xb1b9	.strtab	0x2a7	devm_request_threaded_irq
0xb1d3	.strtab	0x2c1	mtk_sc8571_set_vbatovp
0xb1ea	.strtab	0x2d8	mtk_sc8571_set_vbusovp
0xb201	.strtab	0x2ef	mtk_sc8571_init_chip
0xb216	.strtab	0x304	msleep
0xb21d	.strtab	0x30b	mtk_sc8571_set_ibatocp
0xb234	.strtab	0x322	mtk_sc8571_set_ibusocp
0xb24b	.strtab	0x339	_dev_info
0xb255	.strtab	0x343	sc8571_charger_shutdown
0xb26d	.strtab	0x35b	mtk_sc8571_reset_vbatovp_alarm
0xb28c	.strtab	0x37a	mtk_sc8571_set_vbatovp_alarm
0xb2a9	.strtab	0x397	mtk_sc8571_reset_vbusovp_alarm
0xb2c8	.strtab	0x3b6	mtk_sc8571_set_vbusovp_alarm
0xb2e5	.strtab	0x3d3	sc8571_pm
0xb2ef	.strtab	0x3dd	sc8571_adc_m
0xb2fc	.strtab	0x3ea	__stack_chk_fail
0xb30d	.strtab	0x3fb	sc8571_adc_accuracy_tbl
0xb325	.strtab	0x413	sc8571_adc_l
0xb332	.strtab	0x420	_printk
0xb33a	.strtab	0x428	of_property_read_string
0xb352	.strtab	0x440	sc8571_regmap_config
0xb367	.strtab	0x455	mtk_sc8571_enable_chg
0xb37d	.strtab	0x46b	sc8571_buf
0xb388	.strtab	0x476	sprintf
0xb390	.strtab	0x47e	snprintf
0xb399	.strtab	0x487	sscanf
0xb3a0	.strtab	0x48e	sc8571_charger_remove
0xb3b6	.strtab	0x4a4	regmap_write
0xb3c3	.strtab	0x4b1	__class_create
0xb3d2	.strtab	0x4c0	regmap_field_update_bits_base
0xb3f0	.strtab	0x4de	gpio_request_one
0xb401	.strtab	0x4ef	sc8571_resume
0xb40f	.strtab	0x4fd	sc8571_psy_name
0xb41f	.strtab	0x50d	sc8571_irq_name
0xb42f	.strtab	0x51d	init_module
0xb43b	.strtab	0x529	__this_module
0xb449	.strtab	0x537	cleanup_module
0xb458	.strtab	0x546	device_create_file
0xb46b	.strtab	0x559	sc8571_charger_match_table
0xb486	.strtab	0x574	sc8571_charger_is_writeable
0xb4a2	.strtab	0x590	irq_set_irq_wake
0xb4b3	.strtab	0x5a1	sc8571_enable_charge
0xb4c8	.strtab	0x5b6	devm_kfree
0xb4d3	.strtab	0x5c1	of_match_node
0xb4e1	.strtab	0x5cf	sc8571_init_device
0xb4f4	.strtab	0x5e2	sc8571_charger_probe
0xb509	.strtab	0x5f7	sc8571_suspend
0xb518	.strtab	0x606	sc8571_charge_id
0xb529	.strtab	0x617	mtk_sc8571_is_chg_enabled
0xb543	.strtab	0x631	power_supply_changed
0xb558	.strtab	0x646	regmap_read
0xb564	.strtab	0x652	regmap_bulk_read
0xb575	.strtab	0x663	regmap_field_read
0xb587	.strtab	0x675	gpio_to_desc
0xb594	.strtab	0x682	devm_kmalloc
0xb5a1	.strtab	0x68f	devm_regmap_field_alloc
0xb5b9	.strtab	0x6a7	fortify_panic
0xb5c7	.strtab	0x6b5	mtk_sc8571_get_adc
0xb5da	.strtab	0x6c8	__devm_regmap_init_i2c
0xb5f1	.strtab	0x6df	power_supply_get_drvdata
0xb60a	.strtab	0x6f8	sc8571_mode_data
0xb61b	.strtab	0x709	sc8571_get_adc_data
0xb62f	.strtab	0x71d	SC8571_ADC_CH
0xb63d	.strtab	0x72b	_note_9
0xb645	.strtab	0x733	$d.69
0xb64b	.strtab	0x739	__UNIQUE_ID_author459
0xb661	.strtab	0x74f	$d.59
0xb667	.strtab	0x755	$x.49
0xb66d	.strtab	0x75b	$x.39
0xb673	.strtab	0x761	$x.29
0xb679	.strtab	0x767	$x.19
0xb67f	.strtab	0x76d	$d.9
0xb684	.strtab	0x772	__UNIQUE_ID_license458
0xb69b	.strtab	0x789	$d.58
0xb6a1	.strtab	0x78f	$d.48
0xb6a7	.strtab	0x795	$d.38
0xb6ad	.strtab	0x79b	$d.28
0xb6b3	.strtab	0x7a1	$d.18
0xb6b9	.strtab	0x7a7	$x.8
0xb6be	.strtab	0x7ac	$d.8
0xb6c3	.strtab	0x7b1	__UNIQUE_ID_description457
0xb6de	.strtab	0x7cc	$x.57
0xb6e4	.strtab	0x7d2	$x.47
0xb6ea	.strtab	0x7d8	$x.37
0xb6f0	.strtab	0x7de	$x.27
0xb6f6	.strtab	0x7e4	$d.17
0xb6fc	.strtab	0x7ea	$d.7
0xb701	.strtab	0x7ef	__UNIQUE_ID___addressable_cleanup_module456
0xb72d	.strtab	0x81b	$d.56
0xb733	.strtab	0x821	$d.46
0xb739	.strtab	0x827	$d.36
0xb73f	.strtab	0x82d	$d.26
0xb745	.strtab	0x833	$x.16
0xb74b	.strtab	0x839	$x.6
0xb750	.strtab	0x83e	__UNIQUE_ID___addressable_init_module455
0xb779	.strtab	0x867	$x.55
0xb77f	.strtab	0x86d	$x.45
0xb785	.strtab	0x873	__UNIQUE_ID_depends335
0xb79c	.strtab	0x88a	$x.35
0xb7a2	.strtab	0x890	$x.25
0xb7a8	.strtab	0x896	$d.15
0xb7ae	.strtab	0x89c	$d.5
0xb7b3	.strtab	0x8a1	$d.54
0xb7b9	.strtab	0x8a7	$d.44
0xb7bf	.strtab	0x8ad	__UNIQUE_ID_name334
0xb7d3	.strtab	0x8c1	$d.34
0xb7d9	.strtab	0x8c7	$d.24
0xb7df	.strtab	0x8cd	$x.14
0xb7e5	.strtab	0x8d3	$x.4
0xb7ea	.strtab	0x8d8	$d.4
0xb7ef	.strtab	0x8dd	$d.63
0xb7f5	.strtab	0x8e3	$x.53
0xb7fb	.strtab	0x8e9	$x.43
0xb801	.strtab	0x8ef	__UNIQUE_ID_vermagic333
0xb819	.strtab	0x907	$x.33
0xb81f	.strtab	0x90d	$x.23
0xb825	.strtab	0x913	$d.13
0xb82b	.strtab	0x919	$d.3
0xb830	.strtab	0x91e	$d.62
0xb836	.strtab	0x924	$d.52
0xb83c	.strtab	0x92a	$d.42
0xb842	.strtab	0x930	$d.32
0xb848	.strtab	0x936	$d.22
0xb84e	.strtab	0x93c	$x.12
0xb854	.strtab	0x942	$x.2
0xb859	.strtab	0x947	$d.2
0xb85e	.strtab	0x94c	class_attr_sc8571
0xb870	.strtab	0x95e	$d.61
0xb876	.strtab	0x964	$x.51
0xb87c	.strtab	0x96a	$x.41
0xb882	.strtab	0x970	$x.31
0xb888	.strtab	0x976	$x.21
0xb88e	.strtab	0x97c	$d.11
0xb894	.strtab	0x982	$d.1
0xb899	.strtab	0x987	$d.70
0xb89f	.strtab	0x98d	$d.60
0xb8a5	.strtab	0x993	$d.50
0xb8ab	.strtab	0x999	$d.40
0xb8b1	.strtab	0x99f	$d.30
0xb8b7	.strtab	0x9a5	$d.20
0xb8bd	.strtab	0x9ab	_note_10
0xb8c6	.strtab	0x9b4	$x.10
