name	section	offset	size	bind	vis	kcfi_typeid	sha256	relocation_count	call_or_jump_targets
mtk_sc8571_reset_vbatovp_alarm	.text	0x1bec	56	LOCAL	DEFAULT	0x4cb8fd9b	2d8a820aa251e9598e38ef3d1db6af73bc6082a091b6e0b1dab3f793698c9cb4	5	_dev_err
mtk_sc8571_set_vbusovp_alarm	.text	0x1c28	220	LOCAL	DEFAULT	0x45b28f74	0ca0107340249ac72394a50005701e3335c3092f0c774d2df91c3d1551a3c1fb	9	_dev_info;regmap_field_update_bits_base;_dev_err
mtk_sc8571_reset_vbusovp_alarm	.text	0x1d08	56	LOCAL	DEFAULT	0x4cb8fd9b	2d8a820aa251e9598e38ef3d1db6af73bc6082a091b6e0b1dab3f793698c9cb4	5	_dev_err
mtk_sc8571_is_vbuslowerr	.text	0x1d44	188	LOCAL	DEFAULT	0xfab56ee8	197acdeb05a30ec7d0c3821d49185e7df14e4bdd6cf7fd00072846a8d97e475f	10	regmap_field_read;_dev_err;_dev_info;__stack_chk_fail
mtk_sc8571_init_chip	.text	0x1e04	32	LOCAL	DEFAULT	0x4cb8fd9b	988e3482dc23b40ffa357b7a640ab5d97060bc8ce81efe93fd2bdbf00f1f9e5b	0	
mtk_sc8571_get_adc	.text	0x1e28	188	LOCAL	DEFAULT	0x4f986135	a94d3db415168b5eecccb0faa5469e29f99aa363836df6241c0c54eee05b4e4c	2	
mtk_sc8571_get_adc_accuracy	.text	0x1ee8	64	LOCAL	DEFAULT	0x4f986135	489abd124b137e4c2239776919c9330db5aa5286b6e303377071d82e750ab405	4	
chipid_show	.text	0x1f2c	52	LOCAL	DEFAULT	0xecf57ac6	202c39014abd5490481bb50a49919e140d16a8a5a1f36abfef7b30d1f5985386	5	sprintf
sc8571_suspend	.text	0x1f64	96	LOCAL	DEFAULT	0x3f45655f	3c19e1b92154b86892f54da02459df1fac8eca5b6f6283ec56d69b32a348a636	5	_dev_info;irq_set_irq_wake;disable_irq
sc8571_resume	.text	0x1fc8	96	LOCAL	DEFAULT	0x3f45655f	f3f3518c30b2ce2639759f4bd6687a17e1fe3ce4866aa83adcafd6dd48d46582	5	_dev_info;irq_set_irq_wake;enable_irq
init_module	.init.text	0x4	44	GLOBAL	DEFAULT	0x36b1c5a6	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d	5	i2c_register_driver
cleanup_module	.exit.text	0x4	36	GLOBAL	DEFAULT	0xa540670c	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	3	i2c_del_driver
