function	operation	register	mask	value	delay	retry	evidence	confidence
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	mute_desc.enable	-	0x100 (AW_PID_2049_HMUTE_ENABLE_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	mute_desc.disable	-	0x0 (AW_PID_2049_HMUTE_DISABLE_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	vcalb_desc.vcalb_reg	-	? (AW_REG_NONE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	vsense_desc.vcalb_vsense_reg	-	? (AW_PID_2049_I2SCFG3_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	vsense_desc.vcalk_vdsel_mask	-	0xfffffffe (AW_PID_2049_VDSEL_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	sysst_desc.reg	-	? (AW_PID_2049_SYSST_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	sysst_desc.st_check	-	0x311 (AW_PID_2049_BIT_SYSST_CHECK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	sysst_desc.st_mask	-	0xfffff4c4 (AW_PID_2049_BIT_SYSST_CHECK_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	sysst_desc.pll_check	-	0x11 (AW_PID_2049_BIT_PLL_CHECK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	sysst_desc.dsp_check	-	0x0 (AW_PID_2049_DSPS_NORMAL_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	sysst_desc.dsp_mask	-	0xffffefff (AW_PID_2049_DSPS_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	noise_gate_en.gate[0].reg	-	? (AW_REG_NONE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	noise_gate_en.gate[1].reg	-	? (AW_REG_NONE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	profctrl_desc.reg	-	? (AW_PID_2049_SYSCTRL_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	profctrl_desc.mask	-	0xffffff7f (AW_PID_2049_RCV_MODE_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	profctrl_desc.rcv_mode_val	-	0x80 (AW_PID_2049_RCV_MODE_RECEIVER_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	volume_desc.reg	-	? (AW_PID_2049_SYSCTRL2_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	volume_desc.mask	-	0xffff003f (AW_PID_2049_VOL_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	volume_desc.shift	-	0x6 (AW_PID_2049_VOL_START_BIT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	volume_desc.mute_volume	-	0x2d0 (AW_PID_2049_MUTE_VOL)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	volume_desc.max_volume	-	0x0 (AW_PID_2049_VOL_DEFAULT_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	volume_desc.ctl_volume	-	0x0 (AW_PID_2049_VOL_DEFAULT_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_en_desc.reg	-	? (AW_PID_2049_SYSCTRL_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_en_desc.mask	-	0xfffffffb (AW_PID_2049_DSPBY_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_en_desc.enable	-	0x0 (AW_PID_2049_DSPBY_WORKING_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_en_desc.disable	-	0x4 (AW_PID_2049_DSPBY_BYPASS_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	memclk_desc.reg	-	? (AW_PID_2049_DBGCTRL_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	memclk_desc.mask	-	0xfffffff7 (AW_PID_2049_MEM_CLKSEL_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	memclk_desc.mcu_hclk	-	0x8 (AW_PID_2049_MEM_CLKSEL_DAP_HCLK_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	memclk_desc.osc_clk	-	0x0 (AW_PID_2049_MEM_CLKSEL_OSC_CLK_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	watch_dog_desc.reg	-	? (AW_PID_2049_WDT_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	watch_dog_desc.mask	-	0xffffff00 (AW_PID_2049_WDT_CNT_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_mem_desc.dsp_madd_reg	-	? (AW_PID_2049_DSPMADD_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_mem_desc.dsp_mdat_reg	-	? (AW_PID_2049_DSPMDAT_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_mem_desc.dsp_cfg_base_addr	-	? (AW_PID_2049_DSP_CFG_ADDR)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_mem_desc.dsp_fw_base_addr	-	? (AW_PID_2049_DSP_FW_ADDR)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_mem_desc.dsp_rom_check_reg	-	? (AW_PID_2049_DSP_ROM_CHECK_ADDR)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_mem_desc.dsp_rom_check_data	-	? (AW_PID_2049_DSP_ROM_CHECK_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.voltage_desc.reg	-	? (AW_PID_2049_VBAT_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.voltage_desc.vbat_range	-	0x1789 (AW_PID_2049_VBAT_RANGE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.voltage_desc.int_bit	-	0x3ff (AW_PID_2049_INT_10BIT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.temp_desc.reg	-	? (AW_PID_2049_TEMP_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.temp_desc.sign_mask	-	0xfffffdff (AW_PID_2049_TEMP_SIGN_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.temp_desc.neg_mask	-	? (AW_PID_2049_TEMP_NEG_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.vmax_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_VMAX)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.vmax_desc.data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.ipeak_desc.reg	-	? (AW_PID_2049_SYSCTRL2_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.ipeak_desc.mask	-	0xfffffff0 (AW_PID_2049_BST_IPEAK_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	soft_rst.reg	-	? (AW_PID_2049_ID_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	soft_rst.reg_value	-	? (AW_PID_2049_SOFT_RESET_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_vol_desc.reg	-	? (AW_PID_2049_DSPCFG_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_vol_desc.mask	-	0xffff00ff (AW_PID_2049_DSP_VOL_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_vol_desc.mute_st	-	? (AW_PID_2049_DSP_VOL_MUTE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_vol_desc.noise_st	-	? (AW_PID_2049_DSP_VOL_NOISE_ST)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	amppd_desc.reg	-	? (AW_PID_2049_SYSCTRL_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	amppd_desc.mask	-	0xfffffffd (AW_PID_2049_AMPPD_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	amppd_desc.enable	-	0x2 (AW_PID_2049_AMPPD_POWER_DOWN_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	amppd_desc.disable	-	0x0 (AW_PID_2049_AMPPD_WORKING_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.spkr_temp_desc.reg	-	? (AW_PID_2049_ASR2_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.ra_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_CFG_ADPZ_RA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.ra_desc.data_type	-	0x1 (AW_DSP_32_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.ra_desc.shift	-	0xc (AW_PID_2049_DSP_CFG_ADPZ_RA_SHIFT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.actampth_reg	-	? (AW_PID_2049_DSP_REG_CFG_MBMEC_ACTAMPTH)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.actampth_data_type	-	0x1 (AW_DSP_32_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.noiseampth_reg	-	? (AW_PID_2049_DSP_REG_CFG_MBMEC_NOISEAMPTH)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.noiseampth_data_type	-	0x1 (AW_DSP_32_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.ustepn_reg	-	? (AW_PID_2049_DSP_REG_CFG_ADPZ_USTEPN)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.ustepn_data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.alphan_reg	-	? (AW_PID_2049_DSP_REG_CFG_RE_ALPHA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.cali_cfg_desc.alphan_data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.r0_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_CFG_ADPZ_RE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.r0_desc.data_type	-	0x1 (AW_DSP_32_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.r0_desc.shift	-	0xc (AW_PID_2049_DSP_RE_SHIFT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.dsp_re_desc.shift	-	0xa (AW_PID_2049_DSP_REG_CALRE_SHIFT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.dsp_re_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_CALRE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.dsp_re_desc.data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.noise_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_CFG_MBMEC_GLBCFG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.noise_desc.data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.noise_desc.mask	-	0xffffffef (AW_PID_2049_DSP_REG_NOISE_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.f0_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_RESULT_F0)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.f0_desc.shift	-	0x1 (AW_PID_2049_DSP_F0_SHIFT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.f0_desc.data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.q_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_RESULT_Q)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.q_desc.shift	-	0xb (AW_PID_2049_DSP_Q_SHIFT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.q_desc.data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.iv_desc.reg	-	? (AW_PID_2049_ASR1_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	cali_desc.iv_desc.reabs_mask	-	0xfffffff7 (AW_PID_2049_ReAbs_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_crc_desc.dsp_reg	-	? (AW_PID_2049_DSP_REG_CRC_ADDR)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_crc_desc.data_type	-	0x1 (AW_DSP_32_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_crc_desc.check_reg	-	? (AW_PID_2049_CRC_VALUE_CHECK_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_crc_desc.check_reg_data_type	-	0x0 (AW_DSP_16_DATA)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	dsp_crc_desc.ctl_reg	-	? (AW_PID_2049_HAGCCFG7_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
