#	Donor -> stock delta ledger for GQ5012BF1 aw36515.ko.
#	Donor: MotorolaMobilityLLC/kernel-mtk @ ecf0e8f4448b5464d80c5dcd13b7573e9b2d39de
#	       drivers/misc/mediatek/flashlight/v4l2/aw36515.c
#	       SHA-256 22603b6de9ab378ead54ed6ab4457b2ffa557a0386b14139d0575be354c5f024
#	Stock: SHA-256 85e5a860bc0ebae9c26e401ae333928ab8da9569b3892040da4f858cf6f643e8
#	kind=ELECTRICAL changes a current/timing; kind=BEHAVIOUR changes control flow;
#	kind=STRUCTURE changes the symbol/ABI inventory; kind=COSMETIC is metadata.
id	kind	delta	donor	stock (reconstructed)	proof
D14	BEHAVIOUR	aw36515_uninit() lowers the GPIO	empty function returning 0	gpio_set(0) then return 0	aw36515_set_driver+0x148-+0x150 (inlined set==0 branch)
D15	BEHAVIOUR	probe software reset	absent	read 0x07, msleep(10), two printk records, write 0x07 | BIT(7)	aw36515_probe+0x2e0..+0x348
D16	BEHAVIOUR	probe chip-ID read	absent	regmap_read(regmap, 0x00, &val), value discarded	aw36515_probe+0x2d0
D17	BEHAVIOUR	vendor "reg" debug sysfs	absent	DEVICE_ATTR(reg, 0644, reg_show, reg_store) created in probe	device_create_file(&client->dev, &dev_attr_reg); reg_show/reg_store symbols
D18	BEHAVIOUR	cooling state 0 restore value	torch_brt_ctrl(..., flash->ori_current)	torch_brt_ctrl(..., aw36515_TORCH_BRT_MAX)	the LED0 restore constant-folds to regmap_update_bits(0x05, 0xff, 0xff) at +0xe8
D19	BEHAVIOUR	probe ori_current seed	0	aw36515_TORCH_BRT_MAX (500780)	aw36515_probe+0x2b8 str x10 (0x7a42c) to flash+0x558
D20	BEHAVIOUR	cooling state clamp guard	if (state < 0) state = 0	absent (state is unsigned long)	aw36515_cooling_set_cur_state has only the csel against max_state
D21	BEHAVIOUR	thermal registration error log	if (IS_ERR(cdev)) pr_info("register thermal failed")	absent, result stored unchecked	aw36515_probe+0x2b8..+0x2c4 stores x0 with no IS_ERR test
D22	STRUCTURE	runtime PM sleep ops	dev_pm_ops with SET_SYSTEM_SLEEP_PM_OPS/SET_RUNTIME_PM_OPS	no pm_ops, no suspend/resume	no aw36515_pm_ops object, no suspend/resume symbols, no pm_runtime_force_* imports, i2c_driver.driver.pm has no relocation
D23	STRUCTURE	remove() prototype	int aw36515_remove(struct i2c_client *)	void aw36515_remove(struct i2c_client *)	Linux 6.1 i2c_driver.remove signature; stock remove ends without setting w0
D24	STRUCTURE	media_entity_cleanup in remove	present	absent	aw36515_remove has only unregister_subdev + ctrl_handler_free per LED
D25	STRUCTURE	logging	pr_info_ratelimited/pr_info/pr_debug throughout	only 5 log sites remain	stock has no ___ratelimit import and no *._rs objects; .rodata.str1.1 holds 24 strings total
D26	STRUCTURE	snprintf failure check in subdev name init	unchecked snprintf	if (snprintf(...) < 0) pr_info("snprintf failed\n")	aw36515_subdev_init+0xbc tbnz + call to _printk with .rodata.str1.1+0x8e
D27	STRUCTURE	inlining	mode_ctrl/enable_ctrl/flash_brt_ctrl/flash_tout_ctrl/get_ctrl/init_controls/v4l2_i2c_subdev_init/init/uninit/parse_dt are separate functions	all inlined	stock symbol table has exactly 23 text symbols; the reconstruction uses __always_inline to reproduce that inventory
D28	COSMETIC	MODULE_AUTHOR	Roger-HY Wang <roger-hy.wang@mediatek.com>	Alec <like@awinic.com>	.modinfo author=, __UNIQUE_ID_author466 size 30
D29	COSMETIC	MODULE_DESCRIPTION	Texas Instruments aw36515 LED flash driver	Awinic AW36515 LED flash driver	.modinfo description=, __UNIQUE_ID_description467 size 44
D30	COSMETIC	reg_store locals	n/a (function absent in donor)	one 2-element u32 array, not two scalars	stock reg_store computes &val as orr x3, x9, #0x4 from a single sp base; the array form reproduces the function byte-for-byte (also fixes the AW36518/V2 residual)
D31	COSMETIC	absolute line numbering	n/a	probe's two printk records must report lines 1047 and 1049	MOVZ immediates #0x417 and #0x419 at aw36515_probe+0x314/+0x32c; the reconstruction restores the numbering with a documented comment block
