file_offset	section	section_offset	string
0xadfd	.shstrtab	0x95	.llvm_addrsig
0xae0b	.shstrtab	0xa3	.text.ftrace_trampoline
0xae23	.shstrtab	0xbb	.init.eh_frame
0xae32	.shstrtab	0xca	.rela.eh_frame
0xae41	.shstrtab	0xd9	.rela.gnu.linkonce.this_module
0xae60	.shstrtab	0xf8	.note.gnu.build-id
0xae73	.shstrtab	0x10b	.shstrtab
0xae7d	.shstrtab	0x115	.strtab
0xae85	.shstrtab	0x11d	.symtab
0xae8d	.shstrtab	0x125	.hyp.rodata
0xae99	.shstrtab	0x131	.rela.rodata
0xaea6	.shstrtab	0x13e	.rela.exit.data
0xaeb6	.shstrtab	0x14e	.rela.init.data
0xaec6	.shstrtab	0x15e	.hyp.data
0xaed0	.shstrtab	0x168	.rela.data
0xaedb	.shstrtab	0x173	.rodata.str1.1
0xaeeb	.strtab	0x1	sc8571_charger_set_property
0xaf07	.strtab	0x1d	sc8571_charger_get_property
0xaf23	.strtab	0x39	memcpy
0xaf2a	.strtab	0x40	sc8571_charger_probe.__key
0xaf45	.strtab	0x5b	mtk_sc8571_get_adc_accuracy
0xaf61	.strtab	0x77	of_property_read_variable_u32_array
0xaf85	.strtab	0x9b	chipid_show
0xaf91	.strtab	0xa7	sc8571_register_interrupt
0xafab	.strtab	0xc1	sc8571_conunt
0xafb9	.strtab	0xcf	memset
0xafc0	.strtab	0xd6	sc8571_parse_dt
0xafd0	.strtab	0xe6	sc8571_fg_class
0xafe0	.strtab	0xf6	sc8571_show_registers
0xaff6	.strtab	0x10c	dev_attr_registers
0xb009	.strtab	0x11f	sc8571_charger_props
0xb01e	.strtab	0x134	sc8571_chg_props
0xb02f	.strtab	0x145	sc8571_chg_ops
0xb03e	.strtab	0x154	____versions
0xb04b	.strtab	0x161	class_create_file_ns
0xb060	.strtab	0x176	of_get_named_gpio_flags
0xb078	.strtab	0x18e	sc8571_reg_fields
0xb08a	.strtab	0x1a0	mtk_sc8571_is_vbuslowerr
0xb0a3	.strtab	0x1b9	_dev_err
0xb0ac	.strtab	0x1c2	i2c_register_driver
0xb0c0	.strtab	0x1d6	sc8571_charger_driver
0xb0d6	.strtab	0x1ec	i2c_del_driver
0xb0e5	.strtab	0x1fb	power_supply_unregister
0xb0fd	.strtab	0x213	sc8571_psy_register
0xb111	.strtab	0x227	devm_power_supply_register
0xb12c	.strtab	0x242	sc8571_store_register
0xb142	.strtab	0x258	charger_device_register
0xb15a	.strtab	0x270	sc8571_irq_handler
0xb16d	.strtab	0x283	gpiod_to_irq
0xb17a	.strtab	0x290	disable_irq
0xb186	.strtab	0x29c	enable_irq
0xb191	.strtab	0x2a7	devm_request_threaded_irq
0xb1ab	.strtab	0x2c1	mtk_sc8571_set_vbatovp
0xb1c2	.strtab	0x2d8	mtk_sc8571_set_vbusovp
0xb1d9	.strtab	0x2ef	mtk_sc8571_init_chip
0xb1ee	.strtab	0x304	msleep
0xb1f5	.strtab	0x30b	mtk_sc8571_set_ibatocp
0xb20c	.strtab	0x322	mtk_sc8571_set_ibusocp
0xb223	.strtab	0x339	_dev_info
0xb22d	.strtab	0x343	sc8571_charger_shutdown
0xb245	.strtab	0x35b	mtk_sc8571_reset_vbatovp_alarm
0xb264	.strtab	0x37a	mtk_sc8571_set_vbatovp_alarm
0xb281	.strtab	0x397	mtk_sc8571_reset_vbusovp_alarm
0xb2a0	.strtab	0x3b6	mtk_sc8571_set_vbusovp_alarm
0xb2bd	.strtab	0x3d3	sc8571_pm
0xb2c7	.strtab	0x3dd	sc8571_adc_m
0xb2d4	.strtab	0x3ea	__stack_chk_fail
0xb2e5	.strtab	0x3fb	sc8571_adc_accuracy_tbl
0xb2fd	.strtab	0x413	sc8571_adc_l
0xb30a	.strtab	0x420	_printk
0xb312	.strtab	0x428	of_property_read_string
0xb32a	.strtab	0x440	sc8571_regmap_config
0xb33f	.strtab	0x455	mtk_sc8571_enable_chg
0xb355	.strtab	0x46b	sc8571_buf
0xb360	.strtab	0x476	sprintf
0xb368	.strtab	0x47e	snprintf
0xb371	.strtab	0x487	sscanf
0xb378	.strtab	0x48e	sc8571_charger_remove
0xb38e	.strtab	0x4a4	regmap_write
0xb39b	.strtab	0x4b1	__class_create
0xb3aa	.strtab	0x4c0	regmap_field_update_bits_base
0xb3c8	.strtab	0x4de	gpio_request_one
0xb3d9	.strtab	0x4ef	sc8571_resume
0xb3e7	.strtab	0x4fd	sc8571_psy_name
0xb3f7	.strtab	0x50d	sc8571_irq_name
0xb407	.strtab	0x51d	init_module
0xb413	.strtab	0x529	__this_module
0xb421	.strtab	0x537	cleanup_module
0xb430	.strtab	0x546	device_create_file
0xb443	.strtab	0x559	sc8571_charger_match_table
0xb45e	.strtab	0x574	sc8571_charger_is_writeable
0xb47a	.strtab	0x590	irq_set_irq_wake
0xb48b	.strtab	0x5a1	sc8571_enable_charge
0xb4a0	.strtab	0x5b6	devm_kfree
0xb4ab	.strtab	0x5c1	of_match_node
0xb4b9	.strtab	0x5cf	sc8571_init_device
0xb4cc	.strtab	0x5e2	sc8571_charger_probe
0xb4e1	.strtab	0x5f7	sc8571_suspend
0xb4f0	.strtab	0x606	sc8571_charge_id
0xb501	.strtab	0x617	mtk_sc8571_is_chg_enabled
0xb51b	.strtab	0x631	power_supply_changed
0xb530	.strtab	0x646	regmap_read
0xb53c	.strtab	0x652	regmap_bulk_read
0xb54d	.strtab	0x663	regmap_field_read
0xb55f	.strtab	0x675	gpio_to_desc
0xb56c	.strtab	0x682	devm_kmalloc
0xb579	.strtab	0x68f	devm_regmap_field_alloc
0xb591	.strtab	0x6a7	fortify_panic
0xb59f	.strtab	0x6b5	mtk_sc8571_get_adc
0xb5b2	.strtab	0x6c8	__devm_regmap_init_i2c
0xb5c9	.strtab	0x6df	power_supply_get_drvdata
0xb5e2	.strtab	0x6f8	sc8571_mode_data
0xb5f3	.strtab	0x709	sc8571_get_adc_data
0xb607	.strtab	0x71d	SC8571_ADC_CH
0xb615	.strtab	0x72b	_note_9
0xb61d	.strtab	0x733	$d.69
0xb623	.strtab	0x739	__UNIQUE_ID_author459
0xb639	.strtab	0x74f	$d.59
0xb63f	.strtab	0x755	$x.49
0xb645	.strtab	0x75b	$x.39
0xb64b	.strtab	0x761	$x.29
0xb651	.strtab	0x767	$x.19
0xb657	.strtab	0x76d	$d.9
0xb65c	.strtab	0x772	__UNIQUE_ID_license458
0xb673	.strtab	0x789	$d.58
0xb679	.strtab	0x78f	$d.48
0xb67f	.strtab	0x795	$d.38
0xb685	.strtab	0x79b	$d.28
0xb68b	.strtab	0x7a1	$d.18
0xb691	.strtab	0x7a7	$x.8
0xb696	.strtab	0x7ac	$d.8
0xb69b	.strtab	0x7b1	__UNIQUE_ID_description457
0xb6b6	.strtab	0x7cc	$x.57
0xb6bc	.strtab	0x7d2	$x.47
0xb6c2	.strtab	0x7d8	$x.37
0xb6c8	.strtab	0x7de	$x.27
0xb6ce	.strtab	0x7e4	$d.17
0xb6d4	.strtab	0x7ea	$d.7
0xb6d9	.strtab	0x7ef	__UNIQUE_ID___addressable_cleanup_module456
0xb705	.strtab	0x81b	$d.56
0xb70b	.strtab	0x821	$d.46
0xb711	.strtab	0x827	$d.36
0xb717	.strtab	0x82d	$d.26
0xb71d	.strtab	0x833	$x.16
0xb723	.strtab	0x839	$x.6
0xb728	.strtab	0x83e	__UNIQUE_ID___addressable_init_module455
0xb751	.strtab	0x867	$x.55
0xb757	.strtab	0x86d	$x.45
0xb75d	.strtab	0x873	__UNIQUE_ID_depends335
0xb774	.strtab	0x88a	$x.35
0xb77a	.strtab	0x890	$x.25
0xb780	.strtab	0x896	$d.15
0xb786	.strtab	0x89c	$d.5
0xb78b	.strtab	0x8a1	$d.54
0xb791	.strtab	0x8a7	$d.44
0xb797	.strtab	0x8ad	__UNIQUE_ID_name334
0xb7ab	.strtab	0x8c1	$d.34
0xb7b1	.strtab	0x8c7	$d.24
0xb7b7	.strtab	0x8cd	$x.14
0xb7bd	.strtab	0x8d3	$x.4
0xb7c2	.strtab	0x8d8	$d.4
0xb7c7	.strtab	0x8dd	$d.63
0xb7cd	.strtab	0x8e3	$x.53
0xb7d3	.strtab	0x8e9	$x.43
0xb7d9	.strtab	0x8ef	__UNIQUE_ID_vermagic333
0xb7f1	.strtab	0x907	$x.33
0xb7f7	.strtab	0x90d	$x.23
0xb7fd	.strtab	0x913	$d.13
0xb803	.strtab	0x919	$d.3
0xb808	.strtab	0x91e	$d.62
0xb80e	.strtab	0x924	$d.52
0xb814	.strtab	0x92a	$d.42
0xb81a	.strtab	0x930	$d.32
0xb820	.strtab	0x936	$d.22
0xb826	.strtab	0x93c	$x.12
0xb82c	.strtab	0x942	$x.2
0xb831	.strtab	0x947	$d.2
0xb836	.strtab	0x94c	class_attr_sc8571
0xb848	.strtab	0x95e	$d.61
0xb84e	.strtab	0x964	$x.51
0xb854	.strtab	0x96a	$x.41
0xb85a	.strtab	0x970	$x.31
0xb860	.strtab	0x976	$x.21
0xb866	.strtab	0x97c	$d.11
0xb86c	.strtab	0x982	$d.1
0xb871	.strtab	0x987	$d.70
0xb877	.strtab	0x98d	$d.60
0xb87d	.strtab	0x993	$d.50
0xb883	.strtab	0x999	$d.40
0xb889	.strtab	0x99f	$d.30
0xb88f	.strtab	0x9a5	$d.20
0xb895	.strtab	0x9ab	_note_10
0xb89e	.strtab	0x9b4	$x.10
