object	stock_section	stock_size	rebuild_section	rebuild_size	stock_hash	rebuild_hash	classification	evidence
cst8xx_fw	.data	15419	.data	15419	0566ea7799d6f8bbce026639d9dbb89f0e629ab533d1d90e4901c81d5611e1d8	0566ea7799d6f8bbce026639d9dbb89f0e629ab533d1d90e4901c81d5611e1d8	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
cst816t_fw	.data	15410	.data	15410	0d02fde67223c1e7aa6c4ce1d1e522bcbe79d4d58decf1aa79b865cb2e504de3	0d02fde67223c1e7aa6c4ce1d1e522bcbe79d4d58decf1aa79b865cb2e504de3	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
hynitron_fw_grp	.data	240	ABSENT	0	f01f51c667074bd9c7cd712733a1ad26a9a2b4a6308724db95477cd1998a39bd	-	SEMANTIC_EQUIVALENT	three populated stock entries are implemented by hyn_find_fw_idx/hyn_boot_update_fw; exact firmware arrays preserved
hynitron_chip_type_grp	.data	198	ABSENT	0	c87fa9a23f95c443f0da82496afc77477a5c0f9f6a94c5c7bdf19fd9acb141ab	-	SEMANTIC_EQUIVALENT	configured GQ5012BF1 CST820/0xb7 path and B5/B6/B7 image selection preserved; non-fitted generic donor IDs documented
hyn_gesture_group	.data	40	.rodata	40	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
hyn_gesture_mode_attrs	.data	24	.data	24	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
dev_attr_hyn_gesture_mode	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
dev_attr_hyn_gesture_buf	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__UNIQUE_ID___addressable_cleanup_module467	.exit.data	8	ABSENT	0	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	-	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__this_module	.gnu.linkonce.this_module	1088	.gnu.linkonce.this_module	1088	929e8286d9c954915f422fc46de872108b5bac811f2e81f3fd7a9ab9fe9b8aa7	929e8286d9c954915f422fc46de872108b5bac811f2e81f3fd7a9ab9fe9b8aa7	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__UNIQUE_ID___addressable_init_module466	.init.data	8	ABSENT	0	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	-	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_author468	.modinfo	28	ABSENT	0	cb6b9591c3ea41e4b4528afaf0d164a524d302a585a59afad0d21ce2273f603c	-	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_description469	.modinfo	40	ABSENT	0	b0badb65cde4666883cbd3a7e12e874a310b704badd6dde9587ca00c674bc98f	-	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_license470	.modinfo	15	ABSENT	0	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7	-	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_vermagic333	.modinfo	87	.modinfo	85	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0	RELOCATION_EQUIVALENT	compiler/module metadata identity equivalent after relocation
__UNIQUE_ID_name334	.modinfo	14	.modinfo	14	830278946e4c40a4b74e0ae826671122d25e92c51e9729c080d586755a0569f9	830278946e4c40a4b74e0ae826671122d25e92c51e9729c080d586755a0569f9	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__UNIQUE_ID_depends335	.modinfo	20	.modinfo	20	e1ad43ff5f49e6b01abad164029ad2ac0f4d470207aa0afc43b6726d48bf0aa2	e1ad43ff5f49e6b01abad164029ad2ac0f4d470207aa0afc43b6726d48bf0aa2	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__UNIQUE_ID_alias336	.modinfo	17	.modinfo	17	64d6e08a63c610bc46b0341a998ef8d62e8a1e5fa33c9fcaa6f6ba614c554b82	64d6e08a63c610bc46b0341a998ef8d62e8a1e5fa33c9fcaa6f6ba614c554b82	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__UNIQUE_ID_alias337	.modinfo	30	.modinfo	30	4ee49434730f9be4960395b96324c77531ef673c978ffc81927bf33002f51ec9	4ee49434730f9be4960395b96324c77531ef673c978ffc81927bf33002f51ec9	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__UNIQUE_ID_alias338	.modinfo	32	.modinfo	32	3d2672392d33e94eae6c242ec7b894d6c1d12ac10901a3d35f61c548d15e6bc7	3d2672392d33e94eae6c242ec7b894d6c1d12ac10901a3d35f61c548d15e6bc7	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
_note_9	.note.Linux	24	.note.Linux	24	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
_note_10	.note.Linux	24	.note.Linux	24	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__mod_i2c__hyn_tpd_id_device_table	.rodata	64	.rodata	64	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
hyn_tpd_id	.rodata	64	.rodata	64	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
__mod_of__hyn_dt_match_device_table	.rodata	400	.rodata	400	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
hyn_dt_match	.rodata	400	.rodata	400	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
____versions	__versions	3456	__versions	3456	5105588f2a97c648a067482854cef7f0154da4e6a5c013c6fa3e92f8d844cc25	09b62486ee2586839665acf486831658197da7173244fa2c99d2785ce453558d	SEMANTIC_EQUIVALENT	same named object; semantic role/type graph preserved; representation differs
hyn_gesture_data.0	ABSENT	0	.bss	1	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data.1	ABSENT	0	.bss	1	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data.2	ABSENT	0	.bss	1	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data.3	ABSENT	0	.bss	1	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data.4	ABSENT	0	.bss	2	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data.5	ABSENT	0	.bss	2	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data.6	ABSENT	0	.bss	4	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_probe.__key	ABSENT	0	.bss	1	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
cst8xx_fw_len	ABSENT	0	.data	4	-	7be7932c3c1cb18380f115be084be27c25bf49d53b6c6b960df04d94e765d260	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
cst816t_fw_len	ABSENT	0	.data	4	-	1c5d72328768cc2f8587b65d6febeb9c89ed1a4d2ef0589c83c057e69dc3978c	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_attrs	ABSENT	0	.data	48	-	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
__UNIQUE_ID___addressable_cleanup_module458	ABSENT	0	.exit.data	8	-	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID___addressable_init_module457	ABSENT	0	.init.data	8	-	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_author459	ABSENT	0	.modinfo	28	-	cb6b9591c3ea41e4b4528afaf0d164a524d302a585a59afad0d21ce2273f603c	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_description460	ABSENT	0	.modinfo	40	-	b0badb65cde4666883cbd3a7e12e874a310b704badd6dde9587ca00c674bc98f	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
__UNIQUE_ID_license461	ABSENT	0	.modinfo	15	-	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7	RELOCATION_EQUIVALENT	compiler-generated suffix/line-number representation; paired by module metadata role
