module	stock_placement	loaded_normal_boot	loaded_recovery	purpose_subsystem	hardware_controlled	dt_compatible_node	stock_consumers	stock_providers	kernel_imports	intermodule_imports	exports	source_candidate	candidate_repo_path_commit	source_confidence	gq5012bf1_delta_evidence	req_kernel_boot	req_android_boot	req_basic_ui	req_storage	req_charging	req_usb	req_touch	req_audio	req_wifi	req_bt	req_gps	req_cameras	req_fingerprint	req_thermal	runtime_active_on_stock	stock_blob_can_remain	risk_if_missing	re_difficulty	disposition	priority	next_task
bt_drv_6878	vendor_dlkm:bt_drv_6878.ko	yes (vendor_dlkm modules.load idx 167)	no (vendor_dlkm is not mounted in recovery)	MediaTek Bluetooth driver (btif/wmt path) for MT6878	MT6878 integrated Bluetooth	none (registered through conninfra); bluetooth.ko is the BlueZ core provider	none (leaf)	conninfra(25); bluetooth(5); connadp(3); connfem(3); mtk_disp_notify(2)	149	38	1	MediaTek connectivity/bt/mt66xx with BT_PLATFORM=6878	nothing-mt6878/kernel_modules@5f75a3b connectivity/bt/mt66xx:btif -> outs bt_drv_6878.ko (BUILD.bazel platforms list includes '6878'; 6878/Kbuild sets BT_PLATFORM:=6878; btif/Kbuild line 142 MODULE_NAME := bt_drv_$(BT_PLATFORM))	EXACT_SOURCE	Stock exports btmtk_set_country_code_from_wifi, which the donor gen4m/btmtk sources also declare. srcversion 2420E1C5069124661AF298D recorded for later revision comparison.	NO	NO	NO	NO	NO	NO	NO	PARTIAL (BT audio)	NO	YES	NO	NO	NO	NO	YES (BTMTK_RX_WQ workqueue; BT HAL up; conninfra reports BT:[on] during pre-cal)	YES_WITH_STOCK_PROVIDER_CHAIN (conninfra, bluetooth, connadp, connfem, mtk_disp_notify)	no Bluetooth	N/A	FORWARD_PORT	P2_MAJOR_FEATURE	Build the mt66xx btif target with BT_PLATFORM=6878 after conninfra/connfem; verify the single export CRC and the 187 import CRCs
gps_drv_dl_v051	vendor_dlkm:gps_drv_dl_v051.ko	yes (vendor_dlkm modules.load idx 129)	no (vendor_dlkm is not mounted in recovery)	MediaTek GPS data-link driver (plat v051 = MT6878 SoC + MT6686 A-die)	MT6878 GNSS data link (gps_da/gps_nd/gps_mb/gps_dma IRQs)	none; selected by ro.vendor.gps.chrdev=gps_drv_dl_v051	none (leaf)	conninfra(19)	105	19	0	MediaTek connectivity/gps/data_link/plat/v051	nothing-mt6878/kernel_modules@5f75a3b connectivity/gps/data_link/plat/v051:gps_drv_dl_v051 (BUILD.bazel define_mgk_ko name=gps_drv_dl_v051; Kbuild MODULE_NAME := gps_drv_dl_$(GPS_PLATFORM), GPS_PLATFORM := v051, comment 'For MT6878 SoC + MT6686 A-die', dep conninfra)	EXACT_SOURCE	None proven Ulefone-specific; the exact platform variant is already the right one.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	YES (gps_kctrld kthread + 7 gps_* IRQ threads; mnld and mtk_agpsd running)	YES_WITH_STOCK_PROVIDER_CHAIN (conninfra, 19 symbols)	no GNSS	N/A	FORWARD_PORT	P2_MAJOR_FEATURE	Build the v051 target after conninfra; compare the 19 conninfra-facing import CRCs
gps_pwr	vendor_dlkm:gps_pwr.ko	no (insmod by init.gps_pwr.rc on vendor.connsys.driver.ready=yes)	no (not in modules.load.recovery)	GPS power-control device node	GNSS power rail / LNA control	none; insmod'd by /vendor/etc/init/init.gps_pwr.rc on property vendor.connsys.driver.ready=yes	none (leaf)	connadp(3)	21	3	0	MediaTek connectivity/gps/gps_pwr	nothing-mt6878/kernel_modules@5f75a3b connectivity/gps/gps_pwr:gps_pwr (BUILD.bazel define_mgk_ko name='gps_pwr'; gpspwr.c)	EXACT_SOURCE	None proven Ulefone-specific.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	PARTIAL	NO	NO	NO	CONDITIONAL (not in modules.load; insmod'd on demand by init)	YES_WITH_STOCK_PROVIDER_CHAIN (connadp, 3 symbols)	GNSS power sequencing unavailable if the platform actually uses it	N/A	FORWARD_PORT	P2_MAJOR_FEATURE	Build gps_pwr with the rest of the GPS cluster; keep the init.gps_pwr.rc on-demand load path
gps_scp	vendor_dlkm:gps_scp.ko	no (insmod by init.gps_scp.rc on vendor.connsys.driver.ready=yes)	no (not in modules.load.recovery)	GPS-to-SCP STP device (GNSS offload to the MediaTek SCP co-processor)	MT6878 SCP co-processor GNSS channel	none; insmod'd by /vendor/etc/init/init.gps_scp.rc on property vendor.connsys.driver.ready=yes	none (leaf)	connscp(5)	26	5	0	MediaTek connectivity/gps/gps_scp	nothing-mt6878/kernel_modules@5f75a3b connectivity/gps/gps_scp:gps_scp (BUILD.bazel define_mgk_ko name='gps_scp'; gps2scp.c, init.gps_scp.rc)	EXACT_SOURCE	None proven Ulefone-specific.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	PARTIAL	NO	NO	NO	CONDITIONAL (not in modules.load; insmod'd on demand by init)	YES_WITH_STOCK_PROVIDER_CHAIN (connscp, 5 symbols; also needs scp, mtk-mbox, mtk_rpmsg_mbox, mtk_tinysys_ipi)	loss of SCP-offloaded GNSS (low-power positioning)	N/A	FORWARD_PORT	P2_MAJOR_FEATURE	Build gps_scp after the SCP/mailbox cluster (mtk-mbox, mtk_rpmsg_mbox, mtk_tinysys_ipi already frozen) and connscp
fingerprint	vendor_boot_platform:fingerprint.ko	yes (vendor_boot platform modules.load idx 181)	yes (modules.load.recovery idx 185)	YFT fingerprint platform glue: power/reset/IRQ/pinctrl + SPI pad muxing; provider for the sensor driver	Fingerprint sensor power/reset/IRQ rails and SPI0 pad mux (sensor itself is driven by microarray_fp_tee)	"yft_finger, compatible=""mediatek,yft_finger""; reset-gpio, int-gpio, interrupts <3 1 3 0>, debounce, 16 pinctrl states (finger_reset_en0/1, finger_power_en0/1, spi0 mi/mo/clk/cs as spi/gpio, eint pull up/down/dis)"	microarray_fp_tee	none (kernel-only)	18	0	10	No public YFT fingerprint glue donor located; stock-oracle reconstruction complete.	kernel/phase4-fingerprint-recon/fingerprint.c	NO_PUBLIC_SOURCE_FOUND / STOCK_BEHAVIORAL_RECONSTRUCTION_COMPLETE	Ulefone/YFT-only. 16/16 function bytes/sizes/KCFI exact; 18/18 imports/MODVERSIONs; 10/10 export CRCs; 4/4 stock MicroArray consumer edges; exact-GKI clean; verifier 39/39; FROZEN FOR RE.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES (loaded at plat idx 181, immediately before microarray_fp_tee)	YES_SAFE_TRANSITION (18/18 kernel CRCs MATCH, 0 intermodule imports)	microarray_fp_tee loses 4 symbols and cannot load -> no fingerprint	DONE (stock-oracle reconstruction; no material behavior/ABI residual)	SOURCE_RECONSTRUCTED	P2_MAJOR_FEATURE	FROZEN FOR RE; preserve load order before stock microarray_fp_tee; do not conflate provider closure with sensor/TEE completion
microarray_fp_tee	vendor_boot_platform:microarray_fp_tee.ko	yes (vendor_boot platform modules.load idx 182)	yes (modules.load.recovery idx 186)	MicroArray fingerprint sensor driver over TEE-mediated SPI (/dev/madev0)	MicroArray fingerprint sensor on SPI1 (spi1.0, driver 'madev', modalias spi:madev_finger); mt6377 LDO supply	"fingerprint@0 under spi1, compatible=""mediatek,madev_finger"", vfp-supply, spi-max-frequency=8000000, cs-gpios; also matches mediatek,yft_finger and mediatek,finger_print-eint"	none (leaf)	fingerprint(4); spi_mt65xx(2); tkcore(1)	59	7	0	No public MicroArray MTK kernel driver located; userspace is /vendor/lib64/hw/microarray.fingerprint.default.so -> libmicroarray.default.so (not extracted).	none	NO_USEFUL_SOURCE	Ulefone-only. Depends on fingerprint.ko, spi-mt65xx.ko and tkcore.ko (tee_spi_transfer): all SPI traffic is routed through the TEE, so the driver cannot be validated without the TrustKernel stack.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES (/dev/madev0 present with mafinger_device label; /dev/tkcore_fp present)	YES_WITH_STOCK_PROVIDER_CHAIN (fingerprint, spi_mt65xx, tkcore)	no fingerprint unlock	HIGH (TEE-mediated SPI; behaviour is only observable through the secure world)	STOCK_TRANSITION_BLOB	P2_MAJOR_FEATURE	Keep stock; revisit only after tkcore's ABI is frozen and fingerprint.ko is reconstructed with matching export CRCs
custom_ldo	vendor_dlkm:custom-ldo.ko	yes (vendor_dlkm modules.load idx 102)	no (vendor_dlkm is not mounted in recovery)	Board LDO abstraction shim: forwards custom_ldo_en/custom_ldo_vout to the WL2864C backend	camera/sensor LDO rails (consumed exclusively by imgsensor)	none (pure symbol shim; depends=custom-ldo-wl2868)	imgsensor	custom_ldo_wl2868(2)	1	2	2	No public donor; binary-led exact reconstruction complete.	kernel/phase4-custom-ldo-reconstructed-source.c	NO_USEFUL_SOURCE	Ulefone-only. Stock 10296 bytes; exactly 2 functions, both reconstructed byte-identically; exact KCFI, 3/3 import CRCs, 2/2 export CRCs, 10/10 relocations.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES (loaded at vendor_dlkm idx 102, immediately before mtk-cam-isp7sp/imgsensor)	YES_WITH_STOCK_PROVIDER_CHAIN (custom_ldo_wl2868)	imgsensor loses custom_ldo_en/custom_ldo_vout -> camera sensor rails cannot be switched -> no cameras	COMPLETE (2 byte-identical forwarding functions)	SOURCE_RECONSTRUCTED	P2_MAJOR_FEATURE	Complete; exact-GKI BUILD_RC=0/unresolved=0 against reconstructed provider real Module.symvers; see phase4-custom-ldo-reconstruction.md
custom_ldo_wl2868	vendor_dlkm:custom-ldo-wl2868.ko	yes (vendor_dlkm modules.load idx 101)	no (vendor_dlkm is not mounted in recovery)	Will Semiconductor WL2864C/WL2868C 7-channel camera PMU driver + /dev char interface	WL2864C PMU @ I2C 11-0029, 7 LDO rails for cameras/sensors; reset GPIO	"pmu@wl2864c, compatible=""will,wl2864c_pmu"", reg=0x29, id_reg/id_val=0x00/0x01, id_reg_2868c/id_val_2868c=0x00/0x82, reset-gpios"	custom_ldo	none (kernel-only)	27	0	2	sonyxperiadev/kernel wl2868c-regulator.c is a regulator-framework driver; the Ulefone module is a raw chardev/symbol-export driver (wl2864c_open/read/write/llseek, will_ldo_en/will_ldo_vout). Register map is reusable, driver model is not. Nothing has only the DT fragment cust_wl2864c.dtsi (the wl2864c.ko target is listed in mgk_64_k61.bzl but the source is absent from the published tree).	LieppOS clean-room stock-oracle reconstruction at $GKI_WS/lieppos/custom-ldo-wl2868-recon; Sony/Nothing references remain structural/DT-only	NO_PUBLIC_SOURCE_FOUND / STOCK_BEHAVIORAL_RECONSTRUCTION_COMPLETE	Ulefone-only raw-I2C model closed from stock: probe hardcodes software ID 0x82 and client address 0x2f (no chip read); exact vin1/reset/VIN2 quirks, misc raw-register ABI, voltage/enable formulas, lifecycle, and will_ldo_en/will_ldo_vout consumer ABI reconstructed.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES (bound at /sys/bus/i2c/devices/11-0029 driver wl2864c)	YES_SAFE_TRANSITION (27/27 kernel CRCs MATCH, 0 intermodule imports)	custom_ldo cannot load -> imgsensor camera rails dead -> no cameras	COMPLETE (stock behavioral oracle closed; no hardware-significant residual; runtime validation intentionally not performed)	SOURCE_RECONSTRUCTED	P2_MAJOR_FEATURE	Complete and FROZEN FOR RE; exact 15-function/KCFI/call-set, 27 MODVERSIONs, 2 export CRCs, exact-GKI/downstream builds, and 50/50 verifier; see phase4-custom-ldo-wl2868-reconstruction.md
yft_gpio_keys	vendor_boot_platform:yft_gpio_keys.ko	yes (vendor_boot platform modules.load idx 179)	yes (modules.load.recovery idx 183)	GPIO key driver for the two Ulefone custom action keys (F1/F2)	two rugged side/custom keys, GPIO 0x0d and 0x08, active-low, wakeup sources	"yft-gpio-keys, compatible=""yft-gpio-keys""; key-custom1 label=customkeyf1 linux,code=0x3b (F1); key-custom2 label=customkeyf2 linux,code=0x3c (F2); debounce-interval=16; wakeup-source"	none (leaf)	none (kernel-only)	65	0	0	Exact-GKI in-tree mainline driver drivers/input/keyboard/gpio_keys.c	common@6b18f0b574ab3267615ae6ce642d5a7c3c21ac09 drivers/input/keyboard/gpio_keys.c (exact GKI 12901745 workspace)	STOCK_ORACLE_PROVEN	Pinned donor plus exact identity, 16-ms default debounce, IRQ disable/re-enable, state logging and next-edge rearm delta; 23/23 function bytes, 65/65 CRCs, exact DT/input/PM/lifecycle contracts, 40/40 verifier.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES (loaded at plat idx 179; input node gpio-keys/input0)	SOURCE_NOW (stock transition no longer required)	the two custom action keys stop working; power/volume are unaffected (separate MediaTek keypad)	COMPLETE	SOURCE_DELTA_RECONSTRUCTION_EXACT / SOURCE_RECONSTRUCTED / FROZEN_FOR_RE	CLOSED	None; closed independently. Do not reopen without new contradictory stock evidence.
spi_tiny_co5300_lcd	vendor_dlkm:spi_tiny_co5300_lcd.ko	yes (vendor_dlkm modules.load idx 191)	no (vendor_dlkm is not mounted in recovery)	Rear/secondary mini-display panel driver over SPI with a misc-device framebuffer ABI	CO5300 rear AMOLED mini display on SPI0 (driver spi_tiny_lcd_co5300); ADC channel for panel ID; TE IRQ	"tiny_lcd under spi0, compatible=""hxytech, spi_tiny_lcd"", spi-max-frequency=60000000, io-channels tiny_lcd_adc, reset/en-1v8/en-2v8/dc-ctrl/te GPIOs, 10 pinctrl states"	none (leaf)	yft_devinfo(2); hynitron(2)	54	4	0	No public source located.	none	NO_USEFUL_SOURCE	Ulefone-only. MODULE_DESCRIPTION advertises 'SSD1317 ... QG-9696TSWXG04' and alias spi:SSD1317 while every log string and the bound driver name say co5300 - the description is stale vendor boilerplate, the real DDIC is CO5300. Misc device /dev-class tiny_lcd_miscdev with TINY_LCM_IOC_{POWER_ENABLE,BL_ENABLE,BL_DISABLE,BL_CONTROL,WRITE_FRAME,FRAME_SIZE,TP_GESTURE_ENABLE} ioctls. Depends on yft_devinfo and hynitron.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES (bound at /sys/bus/spi/devices/spi0.0; /sys/class/misc/tiny_lcd_miscdev present)	YES_WITH_STOCK_PROVIDER_CHAIN (yft_devinfo, hynitron)	rear mini display dead; YftMiniScreen app non-functional; main display unaffected	MODERATE (25 functions, ioctl ABI + frame-write path)	STOCK_TRANSITION_BLOB	P3_OPTIONAL_FEATURE	Keep stock for Level A/B; reconstruct only after yft_devinfo and hynitron providers are settled
hynitron	vendor_dlkm:hynitron.ko	no (on-demand via /vendor/etc/init/init.touch.rc)	no (not in modules.load.recovery)	Hynitron CST3xx/CST6xx/CST8xx touchscreen driver for the rear mini display	Hynitron hyn_ts @ I2C 0-0015, 340x340, single touch; CST816D/CST816T firmware images embedded	"hynitron@15, compatible=""hynitron,hyn_ts"", reg=0x15, clock-frequency=400000, interrupts <0x0b 2 0x0b 0>, hynitron,reset-gpio/irq-gpio/vdd-gpio, hynitron,max-touch-number=1, hynitron,display-coords=<340 340>"	spi_tiny_co5300_lcd	yft_devinfo(3)	51	3	2	Mainline drivers/input/touchscreen/hynitron_cstxxx.c (added by commit 66603243f5283f7f28c795f09e7c2167233df0bd, NOT present in the exact GKI 6.1.115 tree) is a ~300-line clean-room driver; the stock module is a 65-function vendor driver with bootloader entry, firmware update and gesture subsystems.	torvalds/linux drivers/input/touchscreen/hynitron_cstxxx.c (register-level reference only)	STRUCTURAL_DONOR_ONLY	Ulefone-only. Exports tiny_tp_gesture_contorl and tiny_tp_power_contorl (note the vendor misspelling) consumed by spi_tiny_co5300_lcd; embedded firmware blobs CSW_2205166_CST816D_...hex and CSW_2302271_CST816T_...hex; depends on yft_devinfo.	NO	NO	NO	NO	NO	NO	PARTIAL (rear touch only; main touch is FT3680)	NO	NO	NO	NO	NO	NO	NO	YES (bound at I2C 0-0015; irq/56-Hynitron Touch Int thread) but NOT in vendor_dlkm modules.load - loaded on demand via /vendor/etc/init/init.touch.rc	YES_WITH_STOCK_PROVIDER_CHAIN (yft_devinfo)	rear touch dead; spi_tiny_co5300_lcd loses 2 symbols and cannot load either	HIGH (65 functions incl. an embedded firmware-update engine)	STOCK_TRANSITION_BLOB	P3_OPTIONAL_FEATURE	Keep stock for Level A/B; the on-demand init.touch.rc load path must be preserved verbatim
leds_ln2403	vendor_dlkm:leds-ln2403.ko	yes (vendor_dlkm modules.load idx 192)	no (vendor_dlkm is not mounted in recovery)	Camping-light / work-light controller: LN2403 PWM boost driver plus red/blue warning LEDs	LN2403 LED boost driver (PWM-gated), main camping light + red and blue warning LEDs	"yft_camplight, compatible=""mediatek,yft_camplight""; ln2403-power-gpio, ln2403-en-gpio, leds-power-gpio, leds-red-gpio, leds-blue-gpio; pinctrl states default, ln2403_pwmoff_high, ln2403_pwmoff_low, ln2403_pwmon"	none (leaf)	mtk_pwm(2)	30	2	0	No public LN2403 Linux driver located.	none	NO_USEFUL_SOURCE	Ulefone Armor camping light. depends=mtk-pwm (2 symbols). Sysfs ABI under /sys/devices/platform/yft_camplight: camplight_mode, leds_ctl, camplight_set_brightness (all chmod'd by init.yft.rc, labelled sysfs_yft_file). Functions: mt_camplight_mode_show/store, leds_ctl_show/store, camplight_set_brightness_show/store, ln2403_gpio_ctrl_apply, ln2403_pwm_work, gpio_ctrl_timer_handler, set_leds, redblue_led_timer_func. Userspace consumers are the stock YftOutdoorLightUlefone and YftRedBlueLight apps.	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	LOADED (vendor_dlkm idx 192) but no runtime activity observed in the captured snapshot	YES_WITH_STOCK_PROVIDER_CHAIN (mtk-pwm)	camping light and red/blue warning lights unavailable; no boot impact	LOW_TO_MODERATE (16 functions, GPIO+PWM, full DT and sysfs ABI already recovered)	STOCK_TRANSITION_BLOB	P3_OPTIONAL_FEATURE	Keep stock; a clean-room rewrite from the recovered DT + sysfs ABI is straightforward whenever it is wanted (no export CRC constraints - 0 exports)
yft_tiny2c_usb	vendor_dlkm:yft_tiny2c_usb.ko	yes (vendor_dlkm modules.load idx 194)	no (vendor_dlkm is not mounted in recovery)	ThermoVue thermal-camera power/mode controller (USB mux + sensor rails)	tiny2c_usb sensor @ I2C 8-003c; 1V8/3V3/IO3V3/5V rails; thermal camera (ThermoVue Pro AC020) USB/sensor mode switch	"yft_tiny2c_usb, compatible=""mediatek,yft_tiny2c_usb""; tiny2c_usb_vdd_1v8, tiny2c_usb_vdd_3v3, tiny2c_usb_vddio_3v3 GPIOs; alias i2c:tiny2c_usb-sensor"	none (leaf)	mt6375_charger(1)	22	1	0	No public source located.	none	NO_USEFUL_SOURCE	Ulefone Armor 29 Pro Thermal-specific. 12 functions. Sysfs ABI /sys/devices/platform/yft_tiny2c_usb/{tiny2c_usb_mode,sensor_id} and /sys/class/yft_extcon/tiny2c_mode. modinfo depends declares mt6375-charger (1 symbol) because the mode switch re-muxes the USB path.	NO	NO	NO	NO	NO	PARTIAL (re-muxes the USB data path)	NO	NO	NO	NO	NO	PARTIAL (thermal camera only)	NO	YES (thermal camera)	LOADED (vendor_dlkm idx 194, last module) ; no runtime activity in the captured snapshot	YES_WITH_STOCK_PROVIDER_CHAIN (mt6375_charger)	thermal camera cannot be powered/muxed -> ThermoVue non-functional; no boot impact	LOW_TO_MODERATE (12 functions, DT + sysfs ABI recovered)	STOCK_TRANSITION_BLOB	P3_OPTIONAL_FEATURE	Keep stock; reconstruct alongside the thermal-camera userspace work, not before
