file_offset	string
0x3584	wakeup-event-action
0x3598	pressed
0x35a0	failed to shutdown
0x35c0	Linux
0x35d8	Linux
0x3618	yft_gpio_keys
0x3a48	__platform_driver_register
0x3a88	platform_driver_unregister
0x3ac8	devm_kmalloc
0x3b08	devm_input_allocate_device
0x3b48	__mutex_init
0x3b88	device_get_next_child_node
0x3bc8	devm_fwnode_gpiod_get_index
0x3c08	devm_gpio_request_one
0x3c48	gpio_to_desc
0x3c88	gpiod_is_active_low
0x3cc8	gpiod_set_debounce
0x3d08	gpiod_cansleep
0x3d48	gpiod_to_irq
0x3d88	delayed_work_timer_fn
0x3dc8	init_timer_key
0x3e08	hrtimer_init
0x3e48	input_set_capability
0x3e88	devm_add_action
0x3ec8	devm_request_any_context_irq
0x3f08	_dev_err
0x3f48	device_get_child_node_count
0x3f88	device_property_present
0x3fc8	device_property_read_string
0x4008	of_fwnode_ops
0x4048	irq_of_parse_and_map
0x4088	fwnode_property_read_u32_array
0x40c8	fwnode_property_read_string
0x4108	fwnode_property_present
0x4148	fwnode_handle_put
0x4188	input_register_device
0x41c8	device_set_wakeup_capable
0x4208	device_wakeup_enable
0x4248	device_wakeup_disable
0x4288	input_event
0x42c8	gpiod_get_value_cansleep
0x4308	_printk
0x4348	gpiod_get_value
0x4388	irq_set_irq_type
0x43c8	pm_relax
0x4408	enable_irq
0x4448	disable_irq_nosync
0x4488	pm_stay_awake
0x44c8	hrtimer_start_range_ns
0x4508	system_wq
0x4548	__msecs_to_jiffies
0x4588	mod_delayed_work_on
0x45c8	_raw_spin_lock_irqsave
0x4608	pm_wakeup_dev_event
0x4648	_raw_spin_unlock_irqrestore
0x4688	hrtimer_cancel
0x46c8	cancel_delayed_work_sync
0x4708	irq_set_irq_wake
0x4748	mutex_lock
0x4788	input_device_enabled
0x47c8	mutex_unlock
0x4808	_dev_warn
0x4848	bitmap_zalloc
0x4888	scnprintf
0x48c8	bitmap_free
0x4908	bitmap_alloc
0x4948	bitmap_parselist
0x4988	__bitmap_subset
0x49c8	disable_irq
0x4a08	irq_get_irq_data
0x4a48	module_layout
0x64c1	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
0x67b7	4:=@FILORUX[\]
0x67cc	dghijk
0x7a89	.note.gnu.property
0x7a9c	.note.Linux
0x7aa8	.rela.exit.text
0x7ab8	.rela.init.text
0x7ac8	.hyp.text
0x7ad2	.rela.text
0x7add	.comment
0x7ae6	.init.plt
0x7af0	.hyp.bss
0x7af9	__versions
0x7b04	.rodata.str
0x7b10	.modinfo
0x7b19	.note.GNU-stack
0x7b29	.llvm_addrsig
0x7b37	.text.ftrace_trampoline
0x7b4f	.init.eh_frame
0x7b5e	.rela.eh_frame
0x7b6d	.rela.gnu.linkonce.this_module
0x7b8c	.rela__bug_table
0x7b9d	.note.gnu.build-id
0x7bb0	.shstrtab
0x7bba	.strtab
0x7bc2	.symtab
0x7bca	.hyp.rodata
0x7bd6	.rela.rodata
0x7be3	.rela.exit.data
0x7bf3	.rela.init.data
0x7c03	.hyp.data
0x7c0d	.rela.data
0x7c18	.rodata.str1.1
0x7c28	input_set_capability
0x7c3d	init_timer_key
0x7c4c	gpio_keys_quiesce_key
0x7c62	gpio_keys_probe.__key
0x7c78	fwnode_property_read_u32_array
0x7c97	devm_fwnode_gpiod_get_index
0x7cb3	pm_relax
0x7cbc	gpiod_is_active_low
0x7cd0	fwnode_handle_put
0x7ce2	bitmap_parselist
0x7cf3	device_get_child_node_count
0x7d0f	pm_wakeup_dev_event
0x7d23	input_event
0x7d2f	gpio_keys_gpio_report_event
0x7d4b	fwnode_property_present
0x7d63	device_property_present
0x7d7b	__mutex_init
0x7d88	hrtimer_init
0x7d95	__bitmap_subset
0x7da5	gpio_keys_show_keys
0x7db9	dev_attr_keys
0x7dc7	gpio_keys_show_disabled_keys
0x7de4	dev_attr_disabled_keys
0x7dfb	gpio_keys_store_disabled_keys
0x7e19	gpio_keys_attrs
0x7e29	gpio_keys_groups
0x7e3a	gpio_keys_pm_ops
0x7e4b	of_fwnode_ops
0x7e59	____versions
0x7e66	hrtimer_start_range_ns
0x7e7d	__msecs_to_jiffies
0x7e90	gpio_keys_show_switches
0x7ea8	dev_attr_switches
0x7eba	gpio_keys_show_disabled_switches
0x7edb	dev_attr_disabled_switches
0x7ef6	gpio_keys_store_disabled_switches
0x7f18	gpio_keys_irq_isr
0x7f2a	gpio_keys_gpio_isr
0x7f3d	_dev_err
0x7f46	gpio_keys_device_driver
0x7f5e	platform_driver_unregister
0x7f79	__platform_driver_register
0x7f94	gpio_keys_attr_show_helper
0x7faf	gpio_keys_attr_store_helper
0x7fcb	gpio_keys_irq_timer
0x7fdf	gpio_keys_debounce_timer
0x7ff8	system_wq
0x8002	devm_request_any_context_irq
0x801f	gpiod_to_irq
0x802c	disable_irq
0x8038	enable_irq
0x8043	gpio_keys_group
0x8053	gpiod_get_value_cansleep
0x806c	gpiod_cansleep
0x807b	irq_of_parse_and_map
0x8090	gpio_keys_shutdown
0x80a3	_dev_warn
0x80ad	devm_add_action
0x80bd	mod_delayed_work_on
0x80d1	__kcfi_typeid_delayed_work_timer_fn
0x80f5	gpio_keys_open
0x8104	hrtimer_cancel
0x8113	_printk
0x811b	mutex_unlock
0x8128	mutex_lock
0x8133	gpio_keys_of_match
0x8146	fwnode_property_read_string
0x8162	device_property_read_string
0x817e	scnprintf
0x8188	_raw_spin_lock_irqsave
0x819f	gpiod_get_value
0x81af	gpio_keys_close
0x81bf	_raw_spin_unlock_irqrestore
0x81db	irq_set_irq_type
0x81ec	devm_gpio_request_one
0x8202	gpio_keys_resume
0x8213	init_module
0x821f	__this_module
0x822d	cleanup_module
0x823c	__mod_of__gpio_keys_of_match_device_table
0x8266	device_wakeup_disable
0x827c	device_set_wakeup_capable
0x8296	device_wakeup_enable
0x82ab	pm_stay_awake
0x82b9	irq_set_irq_wake
0x82ca	bitmap_free
0x82d6	device_get_next_child_node
0x82f1	gpiod_set_debounce
0x8304	input_register_device
0x831a	devm_input_allocate_device
0x8335	gpio_keys_probe
0x8345	gpio_keys_suspend
0x8357	input_device_enabled
0x836c	gpio_to_desc
0x8379	bitmap_zalloc
0x8387	devm_kmalloc
0x8394	bitmap_alloc
0x83a1	disable_irq_nosync
0x83b4	cancel_delayed_work_sync
0x83cd	gpio_keys_gpio_work_func
0x83e6	irq_get_irq_data
0x83f7	_note_9
0x83ff	__UNIQUE_ID_alias379
0x8414	$x.49
0x841a	$x.39
0x8420	$x.29
0x8426	$d.19
0x842c	$d.9
0x8431	__UNIQUE_ID_description378
0x844c	$d.48
0x8452	$d.38
0x8458	$d.28
0x845e	$x.18
0x8464	$x.8
0x8469	$d.8
0x846e	__UNIQUE_ID_author377
0x8484	$x.47
0x848a	__UNIQUE_ID_alias337
0x849f	$x.37
0x84a5	$x.27
0x84ab	$d.17
0x84b1	$d.7
0x84b6	__UNIQUE_ID_license376
0x84cd	$d.56
0x84d3	$d.46
0x84d9	__UNIQUE_ID_alias336
0x84ee	$d.36
0x84f4	$d.26
0x84fa	$x.16
0x8500	$x.6
0x8505	__UNIQUE_ID___addressable_cleanup_module375
0x8531	$d.55
0x8537	$x.45
0x853d	__UNIQUE_ID_depends335
0x8554	$x.35
0x855a	$x.25
0x8560	$d.15
0x8566	$d.5
0x856b	__UNIQUE_ID___addressable_init_module374
0x8594	$d.54
0x859a	$d.44
0x85a0	__UNIQUE_ID_name334
0x85b4	$d.34
0x85ba	$d.24
0x85c0	$x.14
0x85c6	$x.4
0x85cb	$d.4
0x85d0	$d.63
0x85d6	$d.53
0x85dc	$x.43
0x85e2	__UNIQUE_ID_vermagic333
0x85fa	$x.33
0x8600	$x.23
0x8606	$d.13
0x860c	$d.3
0x8611	$d.62
0x8617	$d.52
0x861d	$d.42
0x8623	$d.32
0x8629	$d.22
0x862f	$x.12
0x8635	$x.2
0x863a	$d.2
0x863f	$d.51
0x8645	$x.41
0x864b	$x.31
0x8651	$x.21
0x8657	$d.11
0x865d	$d.1
0x8662	$d.50
0x8668	$d.40
0x866e	$d.30
0x8674	$d.20
0x867a	_note_10
0x8683	$x.10
