object	section	stock_size	rebuild_size	stock_hash	rebuild_hash	classification	important	explanation
camplight_of_match	.data	400	400	c32067d1046800d751d612cd93512838c735773f8c4123c98581927bcd62ff64	c32067d1046800d751d612cd93512838c735773f8c4123c98581927bcd62ff64	BYTE_IDENTICAL	yes	exact raw object bytes
__mod_of__camplight_of_match_device_table	.data	400	400	c32067d1046800d751d612cd93512838c735773f8c4123c98581927bcd62ff64	c32067d1046800d751d612cd93512838c735773f8c4123c98581927bcd62ff64	BYTE_IDENTICAL	yes	exact raw object bytes
camplight_driver	.data	248	248	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05	BYTE_IDENTICAL	yes	exact raw object bytes
__UNIQUE_ID___addressable_cleanup_module406	.exit.data	8		af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc		SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
__this_module	.gnu.linkonce.this_module	1088	1088	db7d9a270dbb3c60bfc7e14d089fc17cca0305d65e594ea5a898e1cff05ab851	db7d9a270dbb3c60bfc7e14d089fc17cca0305d65e594ea5a898e1cff05ab851	BYTE_IDENTICAL	yes	exact raw object bytes
__UNIQUE_ID___addressable_init_module405	.init.data	8		af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc		SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
__UNIQUE_ID_description407	.modinfo	34		a6680628ea3d5e120e664cf060acb2720682ec6aa2b42f4153e2c77193405499		SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
__UNIQUE_ID_author408	.modinfo	42		98b5d8c4f0aeb0dc14c37eb36a056ca2f82d3efe1417b13288ca4c4a4dc8bffe		SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
__UNIQUE_ID_license409	.modinfo	12		32269415cc45b60babb88674e0bb6093c44f8c5718586546ac35d7ca24fa2159		SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
__UNIQUE_ID_vermagic333	.modinfo	87	85	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0	SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
__UNIQUE_ID_name334	.modinfo	17	17	f86e76f715afff7546982b1b0bdef04eecb4d1a914dc20f10b6afbeb45f98842	f86e76f715afff7546982b1b0bdef04eecb4d1a914dc20f10b6afbeb45f98842	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_depends335	.modinfo	16	16	fef9f98d99f33d2844ebe98c9b648e77f42e5777afa2cfe32094e61f9e0f8e35	fef9f98d99f33d2844ebe98c9b648e77f42e5777afa2cfe32094e61f9e0f8e35	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_alias336	.modinfo	37	37	0da225591cd35d1ea7cb5b84c22eb416977e639f6ea070cfee3faa00cfe30eab	0da225591cd35d1ea7cb5b84c22eb416977e639f6ea070cfee3faa00cfe30eab	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_alias337	.modinfo	39	39	0e22ec0507a422969fc7c80bfc25fd30b84ea043988aeae76d2eae6c2a357855	0e22ec0507a422969fc7c80bfc25fd30b84ea043988aeae76d2eae6c2a357855	BYTE_IDENTICAL	no	exact raw object bytes
_note_9	.note.Linux	24	24	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	BYTE_IDENTICAL	no	exact raw object bytes
_note_10	.note.Linux	24	24	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	BYTE_IDENTICAL	no	exact raw object bytes
mt_sysfs_attributes	.rodata	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925	BYTE_IDENTICAL	yes	exact raw object bytes
____versions	__versions	2048	2048	f6c67e0535f2f83cc784b0d80c2a4111799c313566bcbd89b3679b13dc3aa984	2161af7436e872dcd1efa8deaa7c2169393dc8904c395ddc300ee0d1eb546964	RELOCATION_EQUIVALENT	yes	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
